"","baseline","closedRoads","WTime"
"HRS0-1avg",0,0,0
"HRS1-2avg",0,0,0
"HRS2-3avg",0,0,0
"HRS3-4avg",0.0819985825655563,0.0799853372434018,0.121774193548387
"HRS4-5avg",0.557689581856839,0.628519061583578,0.643328445747801
"HRS5-6avg",1.41254429482636,1.40447214076246,1.62338709677419
"HRS6-7avg",2.40914245216159,2.36539589442815,3.10117302052786
"HRS7-8avg",4.55875265768958,4.32023460410557,4.53951612903226
"HRS8-9avg",5.94946846208363,5.33328445747801,5.16840175953079
"HRS9-10avg",6.13330970942594,5.4308651026393,5.43013196480938
"HRS10-11avg",6.18639262934089,5.30945747800587,5.11766862170088
"HRS11-12avg",6.28235294117647,5.3824780058651,5.26517595307918
"HRS12-13avg",6.91204819277108,5.61862170087976,5.70953079178886
"HRS13-14avg",6.78405386250886,5.84912023460411,5.77697947214076
"HRS14-15avg",6.80673281360737,5.77888563049853,5.69222873900293
"HRS15-16avg",6.61757618710135,5.74516129032258,5.88108504398827
"HRS16-17avg",7.01934798015592,6.1291788856305,6.06986803519062
"HRS17-18avg",7.55882352941176,6.67976539589443,6.41517595307918
"HRS18-19avg",7.53699503897945,6.4658357771261,6.44890029325513
"HRS19-20avg",7.10326009922041,6.30359237536657,6.15491202346041
"HRS20-21avg",6.65634301913536,5.92551319648094,5.92045454545455
"HRS21-22avg",5.76839121190645,5.32690615835777,5.36136363636364
"HRS22-23avg",5.2871722182849,4.81319648093842,4.85989736070381
"HRS23-24avg",4.26449326718639,4.20755131964809,4.12815249266862
"HRS0-24avg",111.886888731396,99.0980205278592,99.4291055718475
"TRAVELTIME0-1avg",12.3494805025854,12.4930517976666,12.4930517976666
"TRAVELTIME1-2avg",12.3494805025854,12.4930517976666,12.4930517976666
"TRAVELTIME2-3avg",12.3494805025854,12.4930517976666,12.4930517976666
"TRAVELTIME3-4avg",12.3494805025854,12.4930517976666,12.4986547486481
"TRAVELTIME4-5avg",12.3756292454403,12.5346746860495,12.5620176118751
"TRAVELTIME5-6avg",12.8641986640869,12.8772766564696,13.0222876874343
"TRAVELTIME6-7avg",13.3874319698653,13.7977719664499,14.5124030202546
"TRAVELTIME7-8avg",18.2811411336685,19.5030661446838,25.6347052110865
"TRAVELTIME8-9avg",34.6364161823337,39.6824785050081,40.7016472499925
"TRAVELTIME9-10avg",46.6699701675933,57.6429171994826,57.1339808256311
"TRAVELTIME10-11avg",49.9604415420683,59.7986404017308,62.2298642114736
"TRAVELTIME11-12avg",53.7567016028405,66.1445690098855,66.722649597018
"TRAVELTIME12-13avg",66.1185788204948,79.6214395368113,76.46656299145
"TRAVELTIME13-14avg",78.821481594453,90.5298631954766,86.1882410170466
"TRAVELTIME14-15avg",79.4917524398176,91.601018328017,89.3930740780253
"TRAVELTIME15-16avg",73.5286736339295,87.0198449384465,85.1428237234137
"TRAVELTIME16-17avg",74.4091567359466,84.1726932312882,89.2740402864168
"TRAVELTIME17-18avg",89.2197996420389,102.314749465223,98.3836901789166
"TRAVELTIME18-19avg",105.816360522771,118.323755596507,115.190482617683
"TRAVELTIME19-20avg",114.900706305171,122.175099699919,121.396149410136
"TRAVELTIME20-21avg",113.718113272175,119.346362031402,117.812933090248
"TRAVELTIME21-22avg",100.91466855384,111.966051978023,106.982257387404
"TRAVELTIME22-23avg",81.3637499560342,95.3144223702258,86.6998291183955
"TRAVELTIME23-24avg",61.6405816936783,77.0841515562061,70.4815527424209
