personId;scoreBaseline;scoreClosedRoads;scoreWTime
6217693;-16.586666666666666;-11.296666666666667;-23.94;
6217692;-44.79666666666667;-50.28166666666667;-64.89666666666668;
237478;-45.075;-38.03333333333333;-33.09;
6302805;-94.49666666666667;-62.14000000000001;-77.53833333333333;
7192950;-20.15166666666667;-64.15833333333333;-39.66833333333334;
5261522;-44.21000000000001;-42.04333333333334;-45.36;
526642;-24.115000000000002;-30.46;-25.701666666666668;
1078131;-4.781666666666667;-30.718333333333334;-57.466666666666676;
1654762;-79.61000000000001;-530.4916666666667;-97.41833333333334;
11930928;-88.12666666666667;-66.38166666666667;-70.57000000000001;
7729846;-74.385;-114.91166666666666;-70.93666666666667;
904528;-76.84166666666667;-84.94500000000001;-92.58;
1586981;-24.526666666666667;-44.03333333333333;-33.016666666666666;
42236;-42.88833333333334;-64.69166666666666;-50.25;
2155528;-16.85;-29.53;-39.98833333333334;
10397622;-24.33666666666667;-29.99166666666667;-31.215;
1503795;-44.504999999999995;-38.85166666666667;-39.28;
4817753;-22.92666666666667;-35.196666666666665;-50.89833333333334;
585859;-40.980000000000004;-69.16666666666667;-58.47500000000001;
1320208;-21.68166666666667;-13.875000000000002;-28.986666666666665;
1071508;-47.601666666666674;-432.0;-432.0;
5432660;-58.07833333333333;-66.665;-48.733333333333334;
7729861;-72.36833333333334;-84.675;-103.21333333333334;
124771;-34.22166666666667;-47.13333333333333;-61.37166666666666;
9050559;-63.69833333333334;-29.248333333333335;-27.765;
1415967;-81.96666666666668;-85.42833333333334;-88.74000000000001;
1841925;-38.428333333333335;-56.34;-60.29333333333333;
10509998;-60.66833333333334;-41.910000000000004;-46.835;
1174843;-62.515;-68.00833333333334;-62.906666666666666;
6432080;-22.488333333333333;-53.78333333333333;-49.69500000000001;
1337918;-33.755;-32.68166666666667;-52.73666666666667;
2104382;-67.79333333333334;-66.61666666666667;-68.58666666666667;
1238126;-26.48;-42.73166666666667;-46.85833333333334;
3400981;-72.55;-100.1;-59.821666666666665;
6432078;-44.35333333333334;-40.818333333333335;-79.23166666666667;
1387382;-52.873333333333335;-82.925;-53.61;
10072002;-101.39833333333334;-101.14166666666667;-67.43666666666667;
189299;-7.49;-9.783333333333335;-16.165;
10072001;-49.763333333333335;-49.77333333333333;-56.065000000000005;
60935;-16.730000000000004;-55.061666666666675;-491.125;
1657803;-90.27666666666667;-89.87666666666668;-83.16666666666667;
1193117;-47.95333333333333;-55.37333333333334;-47.58666666666667;
9816460;-19.69666666666667;-88.23166666666667;-62.16833333333334;
2522734;-36.91500000000001;-21.798333333333336;-21.880000000000003;
7118567;-77.65166666666669;-89.49833333333333;-36.86833333333333;
8491327;-69.06666666666668;-57.56833333333334;-66.18333333333334;
986819;-65.73166666666667;-62.56833333333334;-55.99000000000001;
1276448;-69.375;-72.45500000000001;-68.49833333333333;
514696;-20.665;-31.17;-12.651666666666667;
10240078;-5.036666666666667;-23.873333333333335;-3.5516666666666667;
8514981;-81.01166666666667;-23.236666666666665;-38.25666666666667;
445985;-23.78166666666667;-432.0;-432.0;
716493;-8.281666666666666;-22.848333333333333;-32.888333333333335;
1756752;-35.18666666666667;-35.763333333333335;-37.50333333333334;
1756745;-69.78999999999999;-90.42500000000001;-472.43833333333333;
10077757;-81.18833333333335;-34.88;-47.19500000000001;
1266637;-23.938333333333333;-23.016666666666666;-29.515;
1856112;-87.33166666666668;-101.83000000000001;-91.22000000000001;
5374649;-60.02;-75.26500000000001;-64.035;
7356055;-51.75;-44.443333333333335;-69.79333333333334;
30696;-12.543333333333335;-29.79;-21.853333333333335;
9975453;-72.415;-104.81333333333335;-124.66333333333333;
1320648;-77.28166666666667;-92.295;-74.325;
4841432;-88.33666666666667;-69.29333333333334;-121.55666666666667;
94707;-26.59666666666667;-78.09;-55.35;
7728545;-78.32833333333333;-90.86333333333334;-76.53500000000001;
278809;-68.76666666666667;-86.56000000000002;-76.17833333333333;
329658;-11.396666666666668;-62.70333333333334;-74.73;
1369513;-54.14666666666667;-52.056666666666665;-54.580000000000005;
1551869;-45.508333333333326;-53.03;-63.775000000000006;
6736741;-14.211666666666668;-13.545000000000002;-11.151666666666667;
1952426;-64.69833333333334;-87.61500000000001;-70.35333333333334;
613592;-23.201666666666668;-33.25666666666667;-33.968333333333334;
890201;-49.785;-68.51166666666668;-58.556666666666665;
1702916;-28.02166666666667;-29.270000000000003;-31.403333333333336;
1611627;-78.18;-43.531666666666666;-72.00999999999999;
2050403;-42.20333333333333;-35.61333333333334;-63.81166666666667;
160857;-10.165000000000001;-5.168333333333333;-9.451666666666668;
39001;-36.76833333333333;-45.553333333333335;-72.78833333333334;
160856;-28.678333333333335;-18.868333333333332;-17.60666666666667;
39000;-19.971666666666668;-22.718333333333334;-21.108333333333334;
9368157;-39.96666666666667;-47.59166666666667;-45.945;
228569;-27.41166666666667;-41.50666666666667;-24.308333333333334;
1407076;-58.09;-63.0;-76.07333333333334;
1407075;-42.64833333333334;-50.38000000000001;-52.03666666666667;
3030236;-14.078333333333333;-19.34666666666667;-15.323333333333334;
10033710;-39.22;-50.04666666666667;-54.08833333333334;
6936389;-63.34166666666667;-54.57000000000001;-40.06666666666666;
